1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
0,0.576475739,0.694557768,0,0.865192603,0.914158781,0.970304962,0.912082591,0.927833138,0.916131689,0.865843986,0,0,0.738421322,0.847503991,0.815885816,0.913857479,0.515861826,0.764928926,0.935335308,0,0.68255447,0.610019357,0.835320335,0.454010095,0.922239871,0.674567321,0.764087584,0.538359552,0,0.924101091,0.789000342,0.961699315,0.854695359,0.836218601,0.606023083,0.656226653,0.609999439,0.653027906,0.843792661,0.762683818,0.549453842,0.585340419,0.681035418,0.921262294,0.571240937,0,0.797550011,0,0.684146508,0.791276182,0.748254547,0.615362781,0.651602157,0.720896104,0,0.809997909,0.59100778,0.828936219,0.803183057,0.681027671,0,0,0.906986607,0,0.59514142,0.819777297,0.608491331,0.445797812,0.730055426,0.674334439,0,0,0.871266024,0.831875038,0,0.879723979,0.698097644,0.681730885,0.473681744,0.602731134
0.576475739,0,0.904627349,0.384530068,0.844184405,0.784629318,0.550656488,0.694504512,0.424540259,0.722751478,0.583377911,0.842953739,0.471289358,0.919490545,0.811324296,0.89738635,0.541024134,0.835454344,0.942154665,0.736621692,0,0,0.948874673,0.877497219,0.92856158,0.65296765,0.987878155,0.934657156,0.859710764,0,0.621778403,0.863980882,0.382377762,0.838738536,0.410323143,0.835573352,0.829791396,0.914175015,0,0.800730365,0.921499281,0.954181772,0.931665806,0.982546315,0.791355383,0.956966445,0,0,0,0.908613169,0.865898952,0.948255668,0.984494557,0.943989892,0.953781741,0.407106369,0.862161963,0.988152765,0.367849202,0.896323952,0.931020066,0,0.795231739,0.788740738,0,0.911012191,0.708601829,0.915864407,0.792408904,0.897445149,0.906001813,0,0,0.794327868,0.759699818,0,0.789956693,0.925202446,0.87493254,0,0.931918087
0.694557768,0.904627349,0,0,0.91413552,0.847415822,0.697213627,0.746118778,0.518096498,0.77871082,0.82577658,0.650607907,0,0.99083867,0.935625104,0.947971111,0.607896845,0.954220594,0.951814284,0.833132149,0,0,0.986390586,0.876230037,0.908633292,0.720312526,0.947025474,0.957126295,0.967469708,0,0.659349938,0.980904001,0.524090944,0.806303861,0.418240868,0.795612903,0.985455194,0.991311666,0,0.958329927,0.932815991,0.967662425,0.984889189,0.954530257,0.879274071,0.974026902,0,0,0,0.999721781,0.983274817,0.962420467,0.952297634,0.991645267,0.965234799,0,0.848025964,0.953465671,0.409661739,0.969761088,0.989649606,0,0.60474515,0.878562775,0,0.987474961,0.662492803,0.990262657,0.921472586,0.996502648,0.999188553,0,0,0.882750944,0.67190283,0,0.777277905,0.989422348,0.996704639,0.638608458,0.98883532
0,0.384530068,0,0,0,0,0,0,0,0,0,0.755509838,0.990544482,0,0,0,0,0,0,0,0.79837363,0,0,0,0.435222144,0,0,0,0,0.504406015,0,0,0,0,0,0.540430268,0,0,0,0,0,0,0,0,0,0,0.800310741,0,0.990942737,0,0,0,0,0,0,0.99844466,0,0,0,0,0,0,0.811301829,0,0.956481968,0,0,0,0,0,0,0.909918064,0.573090654,0,0,0,0,0,0,0,0
0.865192603,0.844184405,0.91413552,0,0,0.987970926,0.887503125,0.947497323,0.776123886,0.963051849,0.868094755,0.488131028,0,0.955695203,0.98843215,0.992645482,0.859067328,0.76018915,0.973291119,0.979155149,0,0.4973781,0.875079879,0.984578099,0.719285693,0.932285505,0.909694123,0.976190036,0.788576663,0,0.894958263,0.968356783,0.714994222,0.955649749,0.7036919,0.689212805,0.866469214,0.860548997,0.428744986,0.95408253,0.979282,0.830631016,0.860721168,0.923874488,0.991606892,0.849790126,0,0.616206026,0,0.912683969,0.965449838,0.966550167,0.895338772,0.909021816,0.957433311,0,0.974189851,0.86733434,0.697010593,0.984652572,0.933511001,0,0.44059989,0.994115732,0,0.846040462,0.886803127,0.856757085,0.703786268,0.94208232,0.898227228,0,0,0.994526443,0.858783066,0,0.952668475,0.942535121,0.89085106,0.488145093,0.865049531
0.914158781,0.784629318,0.847415822,0,0.987970926,0,0.932176947,0.982870807,0.855414206,0.991546465,0.8566603,0.42037389,0,0.90166531,0.964338324,0.964873265,0.92257629,0.666829718,0.937057898,0.995328759,0,0.600284625,0.798294933,0.97999267,0.629811433,0.973697832,0.858092497,0.938076843,0.697495579,0,0.951446549,0.923217053,0.785002097,0.971498936,0.796857342,0.648235187,0.79145041,0.78025662,0.531746892,0.919690263,0.947592581,0.746965483,0.778747385,0.871809966,0.995409792,0.769026256,0,0.713388652,0,0.844451168,0.919923138,0.924355978,0.83124942,0.839106858,0.909586395,0,0.972563209,0.797587114,0.788395111,0.947808941,0.86964244,0,0.378339593,0.995992268,0,0.763574776,0.930430525,0.776427424,0.603578187,0.883208627,0.827721562,0,0,0.989829056,0.900825132,0,0.978862891,0.8817693,0.820340873,0.434043396,0.785187261
0.970304962,0.550656488,0.697213627,0,0.887503125,0.932176947,0,0.946705455,0.956854202,0.946297789,0.902853404,0,0,0.748850156,0.88397573,0.830389214,0.95675386,0.512832547,0.768723283,0.959933138,0,0.735584174,0.607665244,0.844810285,0.420336962,0.961447543,0.652080447,0.774246418,0.537144928,0,0.945168388,0.809405517,0.929597204,0.847926731,0.851102035,0.493344652,0.670365137,0.608515599,0.703096257,0.851803286,0.784057397,0.541863114,0.591395526,0.669477704,0.933225083,0.5663372,0,0.84744059,0,0.689686912,0.806470432,0.751891468,0.615387693,0.65766957,0.729062067,0,0.833001289,0.578946409,0.872646048,0.816387637,0.698404694,0,0,0.931182556,0,0.590689388,0.840731992,0.603827252,0.452206375,0.742107592,0.673262257,0,0,0.912857541,0.789103212,0,0.882732782,0.716700673,0.683312713,0.481264299,0.602352874
0.912082591,0.694504512,0.746118778,0,0.947497323,0.982870807,0.946705455,0,0.91657472,0.998460763,0.80829179,0,0,0.816415784,0.91319886,0.907482629,0.974059139,0.543636701,0.870903523,0.981896345,0,0.717993561,0.691758112,0.948847615,0.507254434,0.99778343,0.770939795,0.871801788,0.576667201,0,0.988118438,0.846170882,0.806148127,0.957921327,0.882133804,0.538529474,0.684377047,0.668287158,0.648146443,0.843734984,0.893912767,0.635263805,0.670736225,0.787889474,0.964374672,0.660232207,0,0.813268314,0,0.743511473,0.84020239,0.85211892,0.742696009,0.740755515,0.834581225,0,0.952545806,0.698982683,0.87985918,0.879038413,0.780380971,0,0,0.96827639,0,0.648913022,0.963509953,0.663326528,0.48083986,0.792116301,0.72203493,0,0,0.963696196,0.90732889,0,0.978812008,0.795143117,0.713687683,0,0.675585883
0.927833138,0.424540259,0.518096498,0,0.776123886,0.855414206,0.956854202,0.91657472,0,0.901590026,0.752108029,0,0,0.587423357,0.746545033,0.702795246,0.978016768,0,0.640349884,0.8816563,0,0.890255352,0.436845066,0.760601008,0,0.93863102,0.516670358,0.641919142,0,0,0.953696338,0.646662985,0.925807256,0.798432399,0.953546347,0.364475047,0.474850082,0.426243058,0.862681474,0.686929027,0.665515679,0.374379937,0.415898719,0.532355473,0.835373392,0.399080556,0,0.960172373,0,0.51120928,0.641942548,0.615885027,0.472643539,0.489569849,0.589467988,0,0.761423649,0.430415853,0.970338507,0.671877392,0.534234604,0,0,0.833592805,0,0.40754785,0.853138878,0.42178206,0,0.569750578,0.491689819,0,0,0.812027938,0.791640593,0,0.846731606,0.553700382,0.495433563,0,0.42548727
0.916131689,0.722751478,0.77871082,0,0.963051849,0.991546465,0.946297789,0.998460763,0.901590026,0,0.82664209,0,0,0.844586553,0.932114015,0.927765434,0.962119212,0.58154292,0.89339731,0.989670385,0,0.684278963,0.725359712,0.961235157,0.544118366,0.994240679,0.79885399,0.894422301,0.614056669,0,0.98047187,0.872319204,0.803052105,0.964860352,0.858948401,0.571512772,0.71866302,0.70349757,0.614627449,0.869691718,0.912912051,0.669967101,0.70477095,0.815036197,0.977228711,0.694247277,0,0.785807107,0,0.775985594,0.867084289,0.876347175,0.771059416,0.772295771,0.859566542,0,0.961632701,0.730003563,0.855094802,0.902659053,0.809555959,0,0,0.980223272,0,0.684782119,0.956422761,0.698809956,0.518332455,0.822013892,0.755757227,0,0,0.975231924,0.907605707,0,0.981899832,0.823641286,0.747782897,0.37329894,0.710078967
