p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
61.5,1,21.7,0.2,0.1,0.1,1.6,0.2,1,11.2,0.3,0.1,0.1,0.7,0.2,0.1
48,0.4,2.9,0,0.1,0.1,0.7,0,1.2,1.2,0,0.3,0.1,1.6,1,42.5
54.9,0.8,31,0.4,0.2,0.1,1.1,0.8,1.1,8.3,0.3,0.2,0.1,0.3,0.4,0
63.3,0.3,15.3,0.1,0,0,1.7,0.1,0.6,9.9,0.1,0.1,0.1,3.5,0.1,4.6
35.9,0.7,44.4,0.3,0.1,0,0.7,0.7,0.8,13.4,0,0.2,0.1,0.5,0.6,1.6
55.9,0.6,23.5,0.2,0.1,0,1.7,0,0.7,15.8,0.2,0.1,0.1,1,0.1,0
58.7,1,18.3,0.2,0.1,0,3.5,0.2,1.7,15.3,0.2,0.1,0.1,0.4,0.2,0.1
15.8,0.5,57.5,0,0.2,0,0.2,0,0.1,2.1,0.1,0.3,0,0.7,0.3,22.2
63.5,0.3,3.2,0,0.1,0,0.5,0,0.9,3.3,0.1,0.2,0.1,0.9,0.1,27
49.7,0.7,29.8,0.3,0.1,0.1,1.2,0.2,0.5,16.3,0.2,0.1,0.1,0.4,0.3,0
40.2,0.4,3.8,0,0.1,0.1,0.5,0,0.4,3,0,0.4,0.1,1.3,0.3,49.5
66.4,0.4,10.9,0.1,0.1,0,1.1,0,1,18.3,0.2,0.1,0.1,1.2,0.1,0
47.2,0.7,37.5,0.3,0.1,0.1,2.1,0,0.9,6.3,0.2,0.2,0.1,0.6,0.7,3
66.1,0.5,11.7,0.1,0.1,0,0.9,0.1,0.8,18,0.2,0.1,0.1,1,0.2,0
63.4,1.3,3.9,0.1,0,0,4.7,0,1.4,24.2,0.2,0.1,0.2,0.5,0.1,0
57.3,0.6,18.9,0.2,0.1,0.1,1.9,0.2,1,18.3,0.2,0.1,0.1,0.7,0.2,0
62.1,0.4,15.2,0.1,0.1,0,1,0.1,0.9,18.8,0.1,0.1,0.1,0.8,0.1,0
37.1,0.4,6.7,0,0.1,0.1,1,0,0.4,0.6,0.1,0.2,0.1,1.5,0.3,51.5
20.6,0.3,3,0,0,0,0.1,0,0.6,1.2,0.1,0.2,0.1,1,0.5,72.3
48.2,1,28.8,0.3,0.2,0.2,2.5,0.3,1,16,0.4,0.2,0.2,0.3,0.6,0
40.2,0.8,30.8,0,0.3,0.1,0.5,0,0.5,10,0.2,0.3,0.2,2.9,0.7,12.5
28.3,0.3,1.7,0,0.1,0,0.2,0.1,0.4,34.1,0.3,0.3,0.1,1.5,1.1,31.5
47.2,0.7,32.7,0.2,0,0.1,1.5,0.4,0.6,10.5,0.2,0.1,0.1,0.7,0.3,4.7
57.9,1.3,19,0.2,0.1,0.1,2.4,0.2,1.7,15.6,0.3,0.1,0.1,0.6,0.3,0
59.5,1.3,15.2,0.1,0.1,0,1,0,0.9,20.9,0.3,0.1,0.1,0.3,0.1,0.1
43.1,0.4,11.5,0,0.1,0,0.8,0.1,0.7,41.2,0.3,0.1,0.2,0.6,0.1,0.8
65.9,0.6,12.4,0.2,0.1,0.1,1.8,0.1,1.4,16.2,0.2,0.1,0.1,0.5,0.2,0
